id,category_id,name,price,description,stock,created_at,deleted_at
1,1,Floral Print Maxi Dress,49.99,A beautiful floral print maxi dress perfect for any occasion.,20,2023-07-04 09:32:46,
2,2,Slim Fit Cotton Shirt,29.99,A classic slim fit shirt made from comfortable cotton fabric.,15,2023-07-04 09:34:48,
3,3,Leather Crossbody Bag,39.99,A stylish and compact leather crossbody bag for carrying essentials.,30,2023-07-04 09:35:23,
4,1,Striped Crop Top,19.99,A trendy striped crop top for a fashionable casual look.,25,2023-07-04 09:36:00,
5,2,Tailored Fit Suit,199.99,A sophisticated tailored fit suit for formal occasions.,10,2023-07-04 09:36:57,
6,3,Statement Necklace,24.99,A stunning statement necklace to add glamour to any outfit.,18,2023-07-04 09:37:40,
7,2,High-Waisted Skinny Jeans,39.99," Stylish high-waisted skinny jeans for a trendy look.",22,2023-07-04 09:38:13,
8,3,Leather Bifold Wallet,29.99,A sleek and practical leather bifold wallet for daily use.,30,2023-07-04 09:38:45,
9,2,Polo Shirt,24.99,A classic polo shirt made from breathable fabric.,20,2023-07-04 09:39:23,
10,3,Knit Beanie Hat,14.99,A cozy knit beanie hat to keep you warm in style.,35,2023-07-04 09:40:05,